56,51,51,bad
47,46,47,bad
64,62,58,bad
76,69,79,bad
43,87,101,bad
52,49,49,bad
70,80,97,bad
120,67,114,bad
112,118,117,good
67,84,80,bad
58,64,63,bad
50,55,54,bad
101,94,117,bad
54,49,52,bad
59,85,112,bad
56,57,118,bad
42,44,43,bad
57,48,57,bad
68,69,104,bad
97,112,91,good
102,99,122,good
93,95,94,bad
122,117,83,good
42,45,42,bad
92,95,93,bad
126,102,116,good
69,74,100,bad
63,59,60,bad
88,78,76,bad
42,46,43,bad
113,109,115,good
67,78,87,bad
101,108,100,good
92,91,94,bad
123,108,59,good
104,97,101,bad
91,94,92,bad
74,65,71,bad
59,60,58,bad
57,48,52,bad
63,58,64,bad
95,95,94,bad
91,80,117,bad
61,62,61,bad
98,65,48,bad
44,47,45,bad
54,49,52,bad
63,61,58,bad
47,44,43,bad
110,79,104,bad
48,53,53,bad
45,46,43,bad
45,44,45,bad
95,95,95,bad
90,88,70,bad
109,97,104,bad
115,99,104,good
69,79,75,bad
70,81,84,bad
79,53,83,bad
63,61,64,bad
81,90,66,bad
44,43,46,bad
61,58,62,bad
93,92,93,bad
78,88,81,bad
52,120,33,good
72,102,121,good
89,78,101,bad
69,86,92,bad
56,120,72,good
53,57,52,bad
103,111,106,good
95,94,94,bad
77,72,82,bad
120,104,111,good
59,103,120,good
78,77,77,bad
95,92,94,bad
86,98,110,bad
84,60,98,good
